"DUQ200.Code.or.Value","DUQ200.Value.Description","DUQ200.Count","DUQ200.Cumulative","DUQ200.Skip.to.Item"
"1","Yes",1715,1715,""
"2","No",1707,3422,"DUQ240"
"7","Refused",3,3425,"DUQ240"
"9","Don't know",3,3428,"DUQ240"
".","Missing",1415,4843,""
