"WTS_FFQ.Code.or.Value","WTS_FFQ.Value.Description","WTS_FFQ.Count","WTS_FFQ.Cumulative","WTS_FFQ.Skip.to.Item"
"1860.6154305 to 429271.30231","Range of Values",5956,5956,NA
".","Missing",516,6472,NA
