"SSAG_R.Code.or.Value","SSAG_R.Value.Description","SSAG_R.Count","SSAG_R.Cumulative","SSAG_R.Skip.to.Item"
"0.65 to 3.61","Range of Values",159,159,NA
".","Missing",1558,1717,NA
