"LBXPFNA.Code.or.Value","LBXPFNA.Value.Description","LBXPFNA.Count","LBXPFNA.Cumulative","LBXPFNA.Skip.to.Item"
"0.058 to 19.352","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
