"LBXPFHP.Code.or.Value","LBXPFHP.Value.Description","LBXPFHP.Count","LBXPFHP.Cumulative","LBXPFHP.Skip.to.Item"
"0.07 to 1","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
