"AUXR2KL.Code.or.Value","AUXR2KL.Value.Description","AUXR2KL.Count","AUXR2KL.Cumulative","AUXR2KL.Skip.to.Item"
"30 to 95","Range of Values",11,11,NA
"666","No response",0,11,NA
"888","Could not obtain",0,11,NA
".","Missing",2357,2368,NA
