"OSQ040cb.Code.or.Value","OSQ040cb.Value.Description","OSQ040cb.Count","OSQ040cb.Cumulative","OSQ040cb.Skip.to.Item"
"1","Under 50 years old, or",7,7,"OSQ025"
"2","50 years old or older?",1,8,""
"7","Refused",0,8,"OSQ025"
"9","Don't know",1,9,"OSQ025"
".","Missing",3806,3815,""
