"WHQ150.Code.or.Value","WHQ150.Value.Description","WHQ150.Count","WHQ150.Cumulative","WHQ150.Skip.to.Item"
"7 to 79","Range of Values",6236,6236,NA
"80","80 years or older",122,6358,NA
"77777","Refused",1,6359,NA
"99999","Don't know",38,6397,NA
".","Missing",492,6889,NA
