"LBDAPBSI.Code.or.Value","LBDAPBSI.Value.Description","LBDAPBSI.Count","LBDAPBSI.Cumulative","LBDAPBSI.Skip.to.Item"
"0.16 to 2.29","Range of Values",3357,3357,NA
".","Missing",224,3581,NA
