"WHQ040.Code.or.Value","WHQ040.Value.Description","WHQ040.Count","WHQ040.Cumulative","WHQ040.Skip.to.Item"
"1","More,",581,581,""
"2","Less, or",3806,4387,""
"3","Stay about the same?",2070,6457,"WHD050"
"7","Refused",1,6458,"WHD050"
"9","Don't know",6,6464,"WHD050"
".","Missing",0,6464,""
