"DR2IVB1.Code.or.Value","DR2IVB1.Value.Description","DR2IVB1.Count","DR2IVB1.Cumulative","DR2IVB1.Skip.to.Item"
"0 to 11.972","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
