"SSQ051.Code.or.Value","SSQ051.Value.Description","SSQ051.Count","SSQ051.Cumulative","SSQ051.Skip.to.Item"
"1","Yes",2467,2467,NA
"2","No",724,3191,NA
"3","Offered help but wouldn't accept it",79,3270,NA
"7","Refused",0,3270,NA
"9","Don't know",29,3299,NA
".","Missing",0,3299,NA
