"DS2TVB12.Code.or.Value","DS2TVB12.Value.Description","DS2TVB12.Count","DS2TVB12.Cumulative","DS2TVB12.Skip.to.Item"
"0.73 to 5050","Range of Values",1734,1734,NA
".","Missing",7604,9338,NA
