"LBXAPB.Code.or.Value","LBXAPB.Value.Description","LBXAPB.Count","LBXAPB.Cumulative","LBXAPB.Skip.to.Item"
"16 to 229","Range of Values",3357,3357,NA
".","Missing",224,3581,NA
