"LBDSTRSI.Code.or.Value","LBDSTRSI.Value.Description","LBDSTRSI.Count","LBDSTRSI.Cumulative","LBDSTRSI.Skip.to.Item"
"0.215 to 68.384","Range of Values",6549,6549,NA
".","Missing",430,6979,NA
