"OSD030cc.Code.or.Value","OSD030cc.Value.Description","OSD030cc.Count","OSD030cc.Cumulative","OSD030cc.Skip.to.Item"
"24 to 65","Range of Values",7,7,NA
"85","85 or older",0,7,NA
"77777","Refused",0,7,NA
"99999","Don't know",0,7,NA
".","Missing",5034,5041,NA
