"RFXT099.Code.or.Value","RFXT099.Value.Description","RFXT099.Count","RFXT099.Cumulative","RFXT099.Skip.to.Item"
"858 to 867","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
