"LBXOXY.Code.or.Value","LBXOXY.Value.Description","LBXOXY.Count","LBXOXY.Cumulative","LBXOXY.Skip.to.Item"
"0.019 to 1.436","Range of Values",1661,1661,NA
".","Missing",613,2274,NA
