"URXCB3.Code.or.Value","URXCB3.Value.Description","URXCB3.Count","URXCB3.Cumulative","URXCB3.Skip.to.Item"
"0.07 to 11.6","Range of Values",3048,3048,NA
".","Missing",104,3152,NA
