"HSQ470.Code.or.Value","HSQ470.Value.Description","HSQ470.Count","HSQ470.Cumulative","HSQ470.Skip.to.Item"
"0 to 30","Range of Values",6424,6424,NA
"77","Refused",0,6424,NA
"99","Don't know",5,6429,NA
".","Missing",3106,9535,NA
