"DR1TBCAR.Code.or.Value","DR1TBCAR.Value.Description","DR1TBCAR.Count","DR1TBCAR.Cumulative","DR1TBCAR.Skip.to.Item"
"0 to 61969","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
