"LBDD01LC.Code.or.Value","LBDD01LC.Value.Description","LBDD01LC.Count","LBDD01LC.Cumulative","LBDD01LC.Skip.to.Item"
"0","At or above the detection limit",221,221,NA
"1","Below lower detection limit",25,246,NA
".","Missing",1,247,NA
