"DR2ITFAT.Code.or.Value","DR2ITFAT.Value.Description","DR2ITFAT.Count","DR2ITFAT.Cumulative","DR2ITFAT.Skip.to.Item"
"0 to 175.04","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
