"WHQ040.Code.or.Value","WHQ040.Value.Description","WHQ040.Count","WHQ040.Cumulative","WHQ040.Skip.to.Item"
"1","More,",611,611,NA
"2","Less, or",3790,4401,NA
"3","Stay about the same?",1922,6323,NA
"7","Refused",1,6324,NA
"9","Don't know",3,6327,NA
".","Missing",0,6327,NA
