"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.029 to 39.8","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
