"OSQ140q.Code.or.Value","OSQ140q.Value.Description","OSQ140q.Count","OSQ140q.Cumulative","OSQ140q.Skip.to.Item"
"1 to 42","Range of Values",230,230,NA
"777","Refused",0,230,NA
"999","Don't know",8,238,NA
".","Missing",2831,3069,NA
