"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"0 to 16951","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
