"DS2IFIBE.Code.or.Value","DS2IFIBE.Value.Description","DS2IFIBE.Count","DS2IFIBE.Cumulative","DS2IFIBE.Skip.to.Item"
"0.145 to 9","Range of Values",144,144,NA
".","Missing",5759,5903,NA
