"DS1ISODI.Code.or.Value","DS1ISODI.Value.Description","DS1ISODI.Count","DS1ISODI.Cumulative","DS1ISODI.Skip.to.Item"
"0.4 to 230","Range of Values",488,488,NA
".","Missing",4882,5370,NA
