"URDMX2LC.Code.or.Value","URDMX2LC.Value.Description","URDMX2LC.Count","URDMX2LC.Cumulative","URDMX2LC.Skip.to.Item"
"0","At or above the detection limit",2697,2697,NA
"1","Below lower detection limit",17,2714,NA
".","Missing",117,2831,NA
