"DRD370EQ.Code.or.Value","DRD370EQ.Value.Description","DRD370EQ.Count","DRD370EQ.Cumulative","DRD370EQ.Skip.to.Item"
"1 to 6","Range of Values",112,112,NA
".","Missing",9531,9643,NA
