"URDTIME1.Code.or.Value","URDTIME1.Value.Description","URDTIME1.Count","URDTIME1.Cumulative","URDTIME1.Skip.to.Item"
"4 to 921","Range of Values",7149,7149,NA
".","Missing",1142,8291,NA
