"TYXP035.Code.or.Value","TYXP035.Value.Description","TYXP035.Count","TYXP035.Cumulative","TYXP035.Skip.to.Item"
"-21 to 188","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
