"BPQ100A.Code.or.Value","BPQ100A.Value.Description","BPQ100A.Count","BPQ100A.Cumulative","BPQ100A.Skip.to.Item"
"1","Yes",892,892,NA
"2","No",182,1074,NA
"7","Refused",0,1074,NA
"9","Don't know",0,1074,NA
".","Missing",5065,6139,NA
