"FFQ_VAR.Code.or.Value","FFQ_VAR.Value.Description","FFQ_VAR.Count","FFQ_VAR.Cumulative","FFQ_VAR.Skip.to.Item"
"1 to 152","Range of Values",1095246,1095246,NA
".","Missing",0,1095246,NA
