"LBXRBF.Code.or.Value","LBXRBF.Value.Description","LBXRBF.Count","LBXRBF.Cumulative","LBXRBF.Skip.to.Item"
"50 to 2263","Range of Values",8488,8488,NA
".","Missing",1441,9929,NA
