"DS2DS.Code.or.Value","DS2DS.Value.Description","DS2DS.Count","DS2DS.Cumulative","DS2DS.Skip.to.Item"
"1","Yes",2612,2612,NA
"2","No",4952,7564,NA
"7","Refused",0,7564,NA
"9","Don't know",0,7564,NA
".","Missing",2249,9813,NA
