"DR1TCRYP.Code.or.Value","DR1TCRYP.Value.Description","DR1TCRYP.Count","DR1TCRYP.Cumulative","DR1TCRYP.Skip.to.Item"
"0 to 9300","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
