"OSD030cd.Code.or.Value","OSD030cd.Value.Description","OSD030cd.Count","OSD030cd.Cumulative","OSD030cd.Skip.to.Item"
"24 to 66","Range of Values",3,3,NA
"85","85 or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",5038,5041,NA
