"LBXPFNA.Code.or.Value","LBXPFNA.Value.Description","LBXPFNA.Count","LBXPFNA.Cumulative","LBXPFNA.Skip.to.Item"
"0.07 to 11","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
