"SSMICHP.Code.or.Value","SSMICHP.Value.Description","SSMICHP.Count","SSMICHP.Cumulative","SSMICHP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
