"CVDS2SY.Code.or.Value","CVDS2SY.Value.Description","CVDS2SY.Count","CVDS2SY.Cumulative","CVDS2SY.Skip.to.Item"
"62 to 266","Range of Values",2626,2626,NA
".","Missing",2526,5152,NA
