"URDDEELC.Code.or.Value","URDDEELC.Value.Description","URDDEELC.Count","URDDEELC.Cumulative","URDDEELC.Skip.to.Item"
"0","At or above detection limit",70,70,NA
"1","Below lower detection limit",2674,2744,NA
".","Missing",87,2831,NA
