"PFQ061T.Code.or.Value","PFQ061T.Value.Description","PFQ061T.Count","PFQ061T.Cumulative","PFQ061T.Skip.to.Item"
"1","No difficulty",1235,1235,NA
"2","Some difficulty",395,1630,NA
"3","Much difficulty",174,1804,NA
"4","Unable to do",266,2070,NA
"5","Do not do this activity",83,2153,NA
"7","Refused",0,2153,NA
"9","Don't know",0,2153,NA
".","Missing",7669,9822,NA
