"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 5.5","Range of Values",8249,8249,NA
".","Missing",1058,9307,NA
