"DSQTKCAL.Code.or.Value","DSQTKCAL.Value.Description","DSQTKCAL.Count","DSQTKCAL.Cumulative","DSQTKCAL.Skip.to.Item"
"0.1 to 387.7","Range of Values",1845,1845,NA
".","Missing",7911,9756,NA
