"LBDPFSAL.Code.or.Value","LBDPFSAL.Value.Description","LBDPFSAL.Count","LBDPFSAL.Cumulative","LBDPFSAL.Skip.to.Item"
"0","At or above the detection limit",443,443,NA
"1","Below lower detection limit",1651,2094,NA
".","Missing",274,2368,NA
