"CFDCIT2.Code.or.Value","CFDCIT2.Value.Description","CFDCIT2.Count","CFDCIT2.Cumulative","CFDCIT2.Skip.to.Item"
"0 to 3","Range of Values",1463,1463,NA
".","Missing",224,1687,NA
