"MCQ170M.Code.or.Value","MCQ170M.Value.Description","MCQ170M.Count","MCQ170M.Cumulative","MCQ170M.Skip.to.Item"
"1","Yes",359,359,"MCQ180M"
"2","No",116,475,"MCQ180M"
"7","Refused",0,475,"MCQ180M"
"9","Don't know",23,498,"MCQ180M"
".","Missing",9147,9645,""
