"RFXT015.Code.or.Value","RFXT015.Value.Description","RFXT015.Count","RFXT015.Cumulative","RFXT015.Skip.to.Item"
"115 to 124","Range of Values",51073,51073,NA
".","Missing",3,51076,NA
