"URDMOHLC.Code.or.Value","URDMOHLC.Value.Description","URDMOHLC.Count","URDMOHLC.Cumulative","URDMOHLC.Skip.to.Item"
"0","At or above the detection limit",2672,2672,NA
"1","Below lower detection limit",13,2685,NA
".","Missing",92,2777,NA
