"BPXSY1.Code.or.Value","BPXSY1.Value.Description","BPXSY1.Count","BPXSY1.Cumulative","BPXSY1.Skip.to.Item"
"72 to 228","Range of Values",6302,6302,NA
".","Missing",2402,8704,NA
