"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.14 to 627","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
