"BIXS469K.Code.or.Value","BIXS469K.Value.Description","BIXS469K.Count","BIXS469K.Cumulative","BIXS469K.Skip.to.Item"
"99.06 to 830.01","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
