"DR2TFDFE.Code.or.Value","DR2TFDFE.Value.Description","DR2TFDFE.Count","DR2TFDFE.Cumulative","DR2TFDFE.Skip.to.Item"
"0 to 6483","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
