"OPDUMACH.Code.or.Value","OPDUMACH.Value.Description","OPDUMACH.Count","OPDUMACH.Cumulative","OPDUMACH.Skip.to.Item"
"0","No",2429,2429,NA
"1","Questionable",6,2435,NA
"2","Yes",4,2439,NA
".","Missing",495,2934,NA
