"OHD24LAS.Code.or.Value","OHD24LAS.Value.Description","OHD24LAS.Count","OHD24LAS.Cumulative","OHD24LAS.Skip.to.Item"
"0 to 13","Range of Values",2618,2618,NA
"99","Calculation cannot be determined",160,2778,NA
".","Missing",4352,7130,NA
