"BIXS035K.Code.or.Value","BIXS035K.Value.Description","BIXS035K.Count","BIXS035K.Cumulative","BIXS035K.Skip.to.Item"
"269.66 to 980.06","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
