"WBXP024.Code.or.Value","WBXP024.Value.Description","WBXP024.Count","WBXP024.Cumulative","WBXP024.Skip.to.Item"
"-36.5376 to 163.6875","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
