"URXSMM.Code.or.Value","URXSMM.Value.Description","URXSMM.Count","URXSMM.Cumulative","URXSMM.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2598,2598,NA
".","Missing",158,2756,NA
