"AUXR3KL.Code.or.Value","AUXR3KL.Value.Description","AUXR3KL.Count","AUXR3KL.Cumulative","AUXR3KL.Skip.to.Item"
"40 to 115","Range of Values",29,29,NA
"666","No response",0,29,NA
"888","Could not obtain",0,29,NA
".","Missing",4471,4500,NA
