"DR1IP204.Code.or.Value","DR1IP204.Value.Description","DR1IP204.Count","DR1IP204.Cumulative","DR1IP204.Skip.to.Item"
"0 to 1.433","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
