"BIXC304K.Code.or.Value","BIXC304K.Value.Description","BIXC304K.Count","BIXC304K.Cumulative","BIXC304K.Skip.to.Item"
"6.17 to 115.07","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
