"RHQ586Q.Code.or.Value","RHQ586Q.Value.Description","RHQ586Q.Count","RHQ586Q.Cumulative","RHQ586Q.Skip.to.Item"
"1 to 55","Range of Values",43,43,NA
"77","Refused",0,43,NA
"99","Don't know",0,43,NA
".","Missing",3521,3564,NA
